-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 12/31/2018 
Location: Latitude  -33.3924   Longitude -70.7934 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1154.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,WS50M,WD50M
2017,1,1,0.0,22.72,9.57,9.83,2.05,3.02,183.62
2017,1,2,0.0,23.04,9.67,9.91,2.06,3.14,181.06
2017,1,3,0.0,21.57,8.2,9.9,2.12,3.37,184.06
2017,1,4,0.0,21.87,9.73,9.98,2.02,3.17,179.19
2017,1,5,0.0,23.25,9.65,9.84,2.19,3.3,182.31
2017,1,6,0.0,22.47,9.42,9.74,2.06,2.87,182.25
2017,1,7,0.0,22.54,9.38,9.77,2.2,3.14,188.69
2017,1,8,0.01,21.9,9.01,9.81,2.21,3.32,197.31
2017,1,9,0.01,21.19,6.8,9.65,2.17,3.37,193.94
2017,1,10,0.11,21.87,7.72,9.67,2.06,3.13,187.75
2017,1,11,0.0,24.08,9.67,9.86,2.2,3.3,169.62
2017,1,12,0.0,24.98,9.64,9.86,2.2,3.26,174.12
2017,1,13,0.0,24.8,9.61,9.81,1.71,2.63,170.0
2017,1,14,0.0,23.82,9.37,9.81,2.05,3.04,181.44
2017,1,15,0.0,21.8,9.87,10.03,2.25,3.46,176.25
2017,1,16,0.0,22.49,9.47,9.65,2.25,3.39,176.56
2017,1,17,0.0,25.36,9.59,9.78,2.37,3.58,174.56
2017,1,18,0.0,25.24,9.66,9.8,2.25,3.26,182.19
2017,1,19,0.0,25.66,9.43,9.59,2.38,3.66,174.38
2017,1,20,0.0,27.3,9.07,9.24,2.66,4.02,158.0
2017,1,21,0.03,27.03,8.93,9.12,2.52,3.98,164.81
2017,1,22,0.38,24.29,9.2,9.42,2.24,3.11,181.0
2017,1,23,0.16,21.83,9.15,9.41,2.32,3.37,178.81
2017,1,24,0.09,23.54,9.21,9.38,2.47,3.77,172.75
2017,1,25,0.0,26.39,8.96,9.16,2.38,3.75,172.12
2017,1,26,0.0,26.29,8.87,9.04,2.53,3.95,170.56
2017,1,27,0.0,24.9,8.84,8.96,2.66,3.6,184.31
2017,1,28,0.0,24.74,8.56,8.75,2.33,3.13,184.31
2017,1,29,0.0,24.16,8.07,8.44,2.25,3.05,180.25
2017,1,30,0.0,23.91,7.38,8.72,2.27,3.38,176.38
2017,1,31,0.0,23.55,8.35,8.96,2.15,3.12,182.69
2017,2,1,0.25,22.92,8.62,9.13,2.07,3.07,178.5
2017,2,2,0.04,21.12,8.03,8.73,2.01,3.03,181.81
2017,2,3,0.4,17.88,5.22,8.39,2.01,3.07,203.5
2017,2,4,1.41,16.03,5.52,8.77,1.95,3.15,196.56
2017,2,5,0.0,21.37,8.96,9.16,1.88,3.14,172.0
2017,2,6,0.0,22.08,8.72,8.89,2.13,3.21,181.25
2017,2,7,0.01,21.01,8.8,9.02,2.02,2.98,195.12
2017,2,8,0.0,20.12,8.76,9.04,1.99,3.09,184.38
2017,2,9,0.1,19.92,7.77,8.92,1.98,2.99,182.81
2017,2,10,0.78,20.26,6.9,8.71,2.2,3.22,177.31
2017,2,11,0.01,20.98,8.59,8.85,2.23,3.2,178.62
2017,2,12,0.31,21.9,8.4,8.6,2.46,3.55,177.06
2017,2,13,0.05,22.01,7.94,8.39,2.23,3.09,179.12
2017,2,14,0.02,21.57,7.84,8.34,2.2,2.91,180.62
2017,2,15,0.02,21.05,7.81,8.44,2.15,3.09,180.19
2017,2,16,0.02,20.31,7.11,8.37,2.09,3.16,187.5
2017,2,17,0.0,19.07,7.05,8.43,2.3,3.58,195.94
2017,2,18,0.0,19.97,8.03,8.42,2.11,3.58,175.5
2017,2,19,0.0,22.15,8.29,8.41,2.25,3.22,179.88
2017,2,20,0.0,24.01,8.19,8.36,2.27,3.3,173.25
2017,2,21,0.0,25.58,8.08,8.21,2.27,3.31,170.25
2017,2,22,0.05,25.51,7.71,7.86,1.97,3.04,161.06
2017,2,23,0.05,25.35,6.94,7.62,2.26,3.16,187.25
2017,2,24,4.61,24.01,6.57,7.47,2.06,2.99,181.38
2017,2,25,0.27,22.83,5.45,7.2,2.07,3.02,175.38
2017,2,26,0.05,22.03,5.41,7.31,2.01,2.99,172.94
2017,2,27,0.11,21.55,6.88,7.78,1.95,2.78,175.62
2017,2,28,0.01,22.16,6.95,7.63,1.84,2.87,174.25
2017,3,1,0.0,21.94,6.68,7.71,1.82,2.89,179.56
2017,3,2,0.0,20.12,6.31,7.64,1.88,3.12,178.56
2017,3,3,0.0,18.98,5.47,7.75,1.98,3.02,195.94
2017,3,4,0.0,18.68,7.22,8.02,1.82,3.14,174.5
